Orthography,Klattese
lineal,lIniL
lineament,lInixmxnt
linear,lIniX
lineman,lYnmxn
linen,lIn|n
liner,lYnX
linesman,lYnzmxn
lineup,lYn^p
ling,lIG
linger,lIGgX
lingerie,lanJXe
lingo,lIGgo
linguist,lIGgw|st
linguistics,lIGgwIstIks
liniment,lInxmxnt
lining,lYnIG
link,lIGk
links,lIGks
linkup,lIGk^p
linnet,lIn|t
linoleum,l|nolixm
linseed,lInsid
lint,lInt
lintel,lIntL
lion,lY|n
lionhearted,lY|nhart|d
lionization,lYxnxzeS|n
lionize,lY|nYz
lip,lIp
lipped,lIpt
lipreading,lIpridIG
lipstick,lIpstIk
liquefaction,lIkwxf@kS|n
liquefy,lIkwxfY
liqueur,lIkR
liquid,lIkw|d
liquidate,lIkwxdet
liquidation,lIkwxdeS|n
liquor,lIkX
lira,lIrx
lisle,lYl
lisp,lIsp
lissome,lIsxm
list,lIst
listen,lIsN
listless,lIstlxs
lists,lIsts
lit,lIt
litany,lItNi
literal,lItXL
literalism,lItxrxlIzM
literalistic,lItxrxlIstIk
literary,lItXEri
literate,lItX|t
literati,lItxrati
literatim,lItxretM
literature,lItXxCUr
lithe,lYD
lithium,lITixm
lithograph,lITxgr@f
lithographer,lITagrxfX
lithographic,lITxgr@fIk
lithography,lITagrxfi
Lithuanian,lITyUenixn
litigant,lItIg|nt
litigate,lIt|get
litigation,lIt|geS|n
litigious,lxtIJ|s
litmus,lItmxs
litre,litX
litter,lItX
little,lItL
littoral,lItxrL
liturgical,l|tRJIkL
liturgist,lItXJ|st
liturgy,lItXJi
livability,lIvxbIl|ti
live,lIv
liveable,lIvxbL
livelihood,lYvlihUd
livelong,lIvlcG
lively,lYvli
liven,lYvxn
liver,lIvX
liverish,lIvxrIS
liverwort,lIvXwRt
livery,lIvXi
lives,lYvz
livestock,lYvstak
livid,lIv|d
living,lIvIG
lizard,lIzXd
llama,lamx
llano,lano
lo,lo
load,lod
loaf,lof
loam,lom
loan,lon
loath,loT
loathe,loD
loathing,loDIG
loathly,loDli
loathsome,loTsxm
loaves,lovz
lob,lab
lobar,lobX
lobby,labi
lobe,lob
lobster,labstX
local,lokL
locale,lok@l
locality,lok@l|ti
localization,lokLxzeS|n
localize,lokxlYz
locate,loket
location,lokeS|n
loch,lak
loci,losY
locker,lakX
locket,lak|t
lockjaw,lakJc
locomotion,lokxmoS|n
locomotor,lokxmotX
locus,lok|s
locust,lok|st
locution,lokyuS|n
lodge,laJ
lodgement,laJmxnt
lodger,laJX
loft,lcft
lofty,lcfti
log,lcg
logarithm,lcgXIDM
logarithmic,lcgXIDmIk
loge,loZ
loggerhead,lcgXhEd
loggia,laJix
logic,laJIk
logician,loJIS|n
logistics,loJIstIks
logjam,lcgJ@m
logrolling,lcgrolIG
logy,logi
loin,lOn
loiter,lOtX
loll,lal
lollypop,lalipap
long,lcG
longer,lcGgX
longevity,lanJEvxti
longhand,lcGh@nd
longing,lcGIG
longitude,lanJ|tud
longitudinal,lanJxtudNL
longshoreman,lcGSormxn
look,lUk
lookout,lUkWt
loom,lum
loon,lun
looney,luni
loop,lup
loose,lus
loosen,lusN
loot,lut
lop,lap
lopsided,lapsYd|d
loquacious,lokweS|s
lord,lord
lore,lor
lorgnette,lornyEt
lorn,lorn
lorry,lcri
lose,luz
losing,luzIG
loss,lcs
lost,lcst
lot,lat
lotion,loS|n
lotos,lot|s
lottery,latXi
loud,lWd
lounge,lWnJ
lour,lWr
louse,lWs
lousy,lWzi
lout,lWt
louvre,luvX
lovable,l^vxbL
love,l^v
loving,l^vIG
lowbrow,lobrW
lower,loX
lowercase,loXkes
lowland,lol|nd
lox,laks
loyal,lOL
lozenge,lazNJ
luau,luW
lubber,l^bX
lubricant,lubrIk|nt
lubrication,lubrxkeS|n
lubricator,lubrxketX
lubricious,lubrIS|s
lucent,lusNt
lucerne,lusRn
lucid,lus|d
lucidity,lusId|ti
lucidly,lus|dli
Lucifer,lusxfX
luck,l^k
lucky,l^ki
lucrative,lukrxtIv
lucre,lukX
lucubration,lukyUbreS|n
ludicrous,ludxkr|s
luff,l^f
lug,l^g
luggage,l^gIJ
lugubrious,lUgubrixs
lukewarm,lukworm
lull,l^l
lullaby,l^l|bY
lumbago,l^mbego
lumber,l^mbX
luminary,lumxnEri
luminosity,lumxnas|ti
luminous,lumxn|s
luminously,lumxn|sli
lummox,l^mxks
lump,l^mp
lunacy,lun|si
lunatic,lun|tIk
lunch,l^nC
luncheon,l^nC|n
luncheonette,l^nC|nEt
lunchroom,l^nCrum
lunette,lunEt
lung,l^G
lunge,l^nJ
lupine,lupxn
lurch,lRC
lure,lUr
lurid,lUr|d
lurk,lRk
luscious,l^S|s
lush,l^S
lust,l^st
lustral,l^strL
lustre,l^stX
lusty,l^sti
Lutheran,luTXxn
luxuriant,l^gZUrixnt
luxurious,l^gZUrixs
luxury,l^kSXi
lyceum,lYsixm
lying,lYIG
lymph,lImf
lymphatic,lImf@tIk
lynch,lInC
lyre,lYr
lyric,lIrxk
m,Em
ma,ma
macadam,mxk@dM
macaque,mxk@k
macaroni,m@kXoni
macaroon,m@kXun
macaw,mxkc
mace,mes
macerate,m@sxret
maceration,m@sxreS|n
machete,mxSEti
machicolation,mxCIkxleS|n
machinate,m@k|net
machination,m@k|neS|n
machine,mxSin
machinery,mxSinXi
mackerel,m@kXL
mackinaw,m@kxnc
mackintosh,m@k|ntaS
macrocosm,m@krxkazM
macron,mekran
macroscopic,m@kroskapIk
mad,m@d
madam,m@dM
madame,mxd@m
madcap,m@dk@p
madden,m@dN
madder,m@dX
madding,m@dIG
made,med
Madeira,mxdIrx
mademoiselle,m@dxmwxzEl
madhouse,m@dhWs
madras,m@drxs
madrigal,m@drIgL
maelstrom,melstrxm
maenad,min@d
maestro,mYstro
magazine,m@gxzin
magdalen,m@gdLxn
magenta,mxJEntx
maggot,m@g|t
magi,m@JY
magic,m@JIk
magician,mxJIS|n
magisterial,m@JxstIriL
magistral,m@J|strL
magistrate,m@J|stret
magnanimity,m@gnxnImxti
magnanimous,m@gn@nxmxs
magnanimously,m@gn@nxmxsli
magnate,m@gnet
magnesia,m@gniSx
magnet,m@gn|t
magnetic,m@gnEtIk
magnetism,m@gn|tIzM
magnetization,m@gn|txzeS|n
magnetize,m@gn|tYz
magneto,m@gnito
magnification,m@gnxfxkeS|n
magnificent,m@gnIf|s|nt
magnifico,m@gnIfIko
magnifier,m@gnxfYX
magnify,m@gnxfY
magniloquent,m@gnIlxkwxnt
magnitude,m@gn|tud
magnolia,m@gnolyx
magpie,m@gpY
Magyar,m@gyar
maharaja,mahxraJx
maharanee,mahxrani
mahatma,mxhatmx
mahogany,mxhag|ni
mahout,mxhWt
maidservant,medsRvxnt
mail,mel
mailed,meld
maim,mem
main,men
mainsail,mensel
maintain,menten
maintenance,ment|n|ns
maisonette,mezNEt
maize,mez
majestic,mxJEstIk
majesty,m@J|sti
majolica,mxJalIkx
major,meJX
majordomo,meJXdomo
majority,mxJcr|ti
majuscule,m@J|skyul
make,mek
maladapted,m@lxd@pt|d
maladjusted,m@lxJ^st|d
maladjustment,m@lxJ^stmxnt
maladminister,m@lxdmIn|stX
maladroit,m@lxdrOt
malady,m@lxdi
malaise,m@lez
malamute,m@lxmyut
malapert,m@lxpRt
malapropism,m@lxprapIzM
malapropos,m@l@prxpo
malaria,mxlErix
Malay,mxle
malcontent,m@lk|ntEnt
malediction,m@lxdIkS|n
malefaction,m@lxf@kS|n
malefactor,m@lxf@ktX
malefic,mxlEfIk
maleficent,mxlEfxs|nt
malevolent,mxlEvLxnt
malfeasance,m@lfizNs
malformation,m@lformeS|n
malformed,m@lformd
malfunction,m@lf^GkS|n
malice,m@lxs
malicious,mxlIS|s
malign,mxlYn
malignant,mxlIgn|nt
malinger,mxlIGgX
malison,m@lxs|n
mall,mcl
mallard,m@lXd
malleability,m@lixbIl|ti
malleable,m@lixbL
mallet,m@l|t
mallow,m@lo
malmsey,mamzi
malnourished,m@lnRISt
malnutrition,m@lnutrIS|n
malocclusion,m@lxkluZ|n
malodorous,m@lodxrxs
malt,mclt
maltreat,m@ltrit
mama,mamx
mambo,mambo
mammal,m@mL
mammalian,mxmelixn
mammary,m@mXi
mammon,m@mxn
mammoth,m@mxT
man,m@n
manacle,m@nIkL
manage,m@nIJ
manageability,m@nIJ|bIl|ti
manageable,m@nIJ|bL
management,m@nIJmxnt
manager,m@nIJX
managerial,m@nxJIriL
manana,mxnyanx
manciple,m@nsxpL
mandamus,m@ndemxs
mandarin,m@ndX|n
mandate,m@ndet
mandatory,m@nd|tori
mandible,m@ndxbL
mandolin,m@ndxlIn
mandragora,m@ndr@gxrx
mandrake,m@ndrek
manege,m@nEZ
manes,manes
maneuver,mxnuvX
manful,m@nfL
manganese,m@Gg|niz
mange,menJ
manger,menJX
mangle,m@GgL
mango,m@Ggo
mangrove,m@Ggrov
mangy,menJi
manhandle,m@nh@ndL
manhattan,m@nh@tN
manhole,m@nhol
manhood,m@nhUd
manhunt,m@nh^nt
mania,menix
maniac,meni@k
maniacal,mxnYxkL
manicure,m@nxkyUr
manifest,m@nxfEst
manifestation,m@nxf|steS|n
manifesto,m@nxfEsto
manifold,m@nxfold
manipulate,mxnIpyUlet
manipulation,mxnIpyUleS|n
mankind,m@nkYnd
manlike,m@nlYk
manly,m@nli
manna,m@nx
manned,m@nd
mannequin,m@nIk|n
manner,m@nX
mannikin,m@nIkxn
mannish,m@nIS
manorial,mxnoriL
mansard,m@nsard
manse,m@ns
manservant,m@nsRvxnt
mansion,m@nC|n
manslaughter,m@nslctX
mansuetude,m@nswItud
manta,m@ntx
manteau,m@nto
mantel,m@ntL
mantelet,m@ntlxt
mantelpiece,m@ntLpis
mantilla,m@ntiyx
mantis,m@nt|s
manual,m@nyuL
manufactory,m@nyUf@ktxri
manufacture,m@nyuf@kCX
manumit,m@nyUmIt
manure,mxnUr
manuscript,m@nyuskrIpt
Manx,m@Gks
many,mEni
manyfold,mEnifold
Maori,mWri
map,m@p
maple,mepL
mar,mar
maraschino,m@r|skino
marathon,m@rxTan
maraud,mXcd
marble,marbL
marcel,marsEl
march,marC
marchioness,marS|n|s
mare,mEr
margarine,marJXxn
marge,marJ
margent,marJ|nt
margin,marJ|n
marginalia,marJxnelix
margrave,margrev
marigold,m@rxgold
marijuana,m@rxwanx
marina,mXinx
marinate,m@rxnet
marine,mXin
mariner,m@rxnX
marionette,m@rixnEt
marital,m@rxtL
maritime,m@rxtYm
marjoram,marJXxm
mark,mark
markdown,markdWn
marked,markt
markedly,mark|dli
market,mark|t
markka,marka
marksman,marksmxn
markup,mark^p
marl,marl
marlin,marl|n
marlinespike,marlxnspYk
marmalade,marmxled
marmoreal,marmoriL
marmoset,marmxsEt
marmot,marmxt
maroon,mXun
marplot,marplat
marquee,marki
marquess,markwxs
marquetry,markxtri
marquise,markiz
marquisette,markwxzEt
marriage,m@rIJ
marrow,m@ro
marry,m@ri
Mars,marz
marsh,marS
marshal,marSL
marshmallow,marSmElo
marsupial,marsupiL
mart,mart
marten,martN
Martian,marS|n
martinet,martNEt
martingale,martNgel
martini,martini
martyr,martX
marvel,marvL
marvellous,marvL|s
Marxism,marksIzM
marzipan,martsxpan
mascara,m@sk@rx
mascot,m@skat
masculine,m@skyUlxn
masculinity,m@skyUlIn|ti
mash,m@S
mask,m@sk
masochism,m@s|kIzM
mason,mesN
Masonic,mxsanIk
masonry,mesNri
masquerade,m@skXed
mass,m@s
massacre,m@sIkX
massage,mxsaZ
masseur,m@sUr
masseuse,m@suz
massif,m@sif
massive,m@sIv
mast,m@st
master,m@stX
masterful,m@stXfL
masterpiece,m@stXpis
mastership,m@stXSIp
mastery,m@stXi
masthead,m@sthEd
masticate,m@st|ket
mastication,m@st|keS|n
mastiff,m@st|f
mastodon,m@st|dan
mastoid,m@stOd
masturbate,m@stXbet
masturbation,m@stXbeS|n
mat,m@t
matador,m@t|dor
match,m@C
matchbook,m@CbUk
mate,met
material,mxtIriL
materialistic,mxtIrixlIstIk
materialization,mxtIriLxzeS|n
materialize,mxtIrixlYz
materiel,mxtIriEl
maternal,mxtRnL
maternity,mxtRn|ti
math,m@T
mathematician,m@TMxtIS|n
mathematics,m@TM@t|ks
matinee,m@tNe
matins,m@tNz
matriarch,metriark
matriarchal,metriarkL
matriarchy,metriarki
matriculate,mxtrIkyUlet
matriculation,mxtrIkyUleS|n
matrimonial,m@trxmoniL
matrimony,m@trxmoni
matrix,metrIks
matron,metrxn
matter,m@tX
matting,m@tIG
mattock,m@txk
mattress,m@tr|s
maturate,m@Cxret
maturation,m@CXeS|n
mature,mxCUr
matutinal,m@CutYnL
matzo,matsx
maudlin,mcdl|n
maunder,mcndX
mausoleum,mcsxlixm
mauve,mov
maverick,m@vXIk
mavis,mevxs
maw,mc
mawkish,mckIS
maxilla,m@ksIlx
maxim,m@ksxm
maximal,m@ksxmL
maximum,m@ks|mxm
may,me
maya,mayx
mayapple,me@pL
maybe,mebi
mayflower,meflWX
mayhem,mehEm
mayonnaise,mexnez
mayor,meX
maypole,mepol
mazurka,mxzRkx
mazy,mezi
McCoy,mxkO
me,mi
mead,mid
meadow,mEdo
meadowlark,mEdolark
meadowy,mEdoi
meagre,migX
meal,mil
mealtime,miltYm
mealymouthed,milimWDd
mean,min
meander,mi@ndX
meaning,minIG
meant,mEnt
meantime,mintYm
measles,mizLz
measly,mizLi
measurable,mEZXxbL
measure,mEZX
measurement,mEZXmxnt
meat,mit
mecca,mEkx
mechanic,mIk@nIk
mechanism,mEkxnIzM
mechanistic,mEkxnIstIk
mechanization,mEkxn|zeS|n
mechanize,mEkxnYz
medal,mEdL
medallion,mxd@lyxn
meddler,mEdlX
meddlesome,mEdLsxm
mediaeval,midiivL
medial,midiL
median,midixn
mediate,midiet
mediation,midieS|n
mediator,midietX
medic,mEdIk
medicable,mEdIkxbL
medicament,mIdIkxmxnt
medicate,mEdxket
medication,mEdxkeS|n
medicinal,mxdIsNL
medicine,mEd|sIn
medico,mEdIko
mediocre,midiokX
meditate,mEd|tet
meditation,mEd|teS|n
meditative,mEd|tetIv
medium,midixm
medley,mEdli
medulla,mxd^lx
meek,mik
meerschaum,mIrSxm
meeting,mitIG
megacycle,mEgxsYkL
megalomania,mEgLomenix
megalopolis,mEgxlapLxs
megaphone,mEgxfon
melancholia,mEl|nkolix
melancholy,mEl|nkali
Melanesian,mElxniZ|n
meld,mEld
melee,mele
meliorate,milyXet
melioration,milyXeS^n
meliorative,milyxretIv
mellifluous,mElIfluxs
mellow,mElo
melodeon,mxlodixn
melodic,mxladIk
melodious,mxlodixs
melodrama,mElodramx
melodramatic,mElodrxm@tIk
melody,mElxdi
melon,mEl|n
melt,mElt
member,mEmbX
membrane,mEmbren
memento,mImEnto
memo,mEmo
memoir,mEmwar
memorabilia,mEmXxbilix
memorable,mEmXxbL
memorandum,mEmX@ndxm
memorial,mxmoriL
memorize,mEmXYz
memory,mEmXi
men,mEn
menace,mEn|s
menage,mxnaZ
menagerie,mxn@JXi
mend,mEnd
mendacious,mEndeS|s
mendicant,mEndIkxnt
menfolk,mEnfok
menial,miniL
meningitis,mEn|nJYt|s
menopause,mEnxpcz
menses,mEnsiz
menstrual,mEnstrUL
menstruate,mEnstrUet
menstruation,mEnstrUeS|n
mensurable,mEnsxrxbL
mensuration,mEnsxreS|n
mental,mEntL
mentality,mEnt@l|ti
menthol,mEnTcl
mention,mEnC|n
mentor,mEntor
menu,mEnyu
meow,miW
mephitic,mxfItIk
mercantile,mRk|ntil
mercenarily,mRsNErxli
mercenariness,mRsNErin|s
mercenary,mRsNEri
mercer,mRsX
merchandise,mRC|ndYz
merchant,mRC|nt
mercurial,mRkyUriL
mercury,mRkyXi
mercy,mRsi
mere,mIr
meretricious,mErxtrIS|s
merge,mRJ
merger,mRJX
meridian,mXIdixn
meringue,mxr@G
merino,mxrino
merit,mEr|t
meritorious,mErxtorixs
mermaid,mRmed
merriment,mErImxnt
merry,mEri
mesa,mesx
mesdames,medam
mesdemoiselles,medxmwxzEl
mesh,mES
mesmeric,mEzmErIk
mesmerism,mEzmXIzM
mesmerize,mEzmXYz
mesquite,mxskit
mess,mEs
message,mEsIJ
messeigneurs,mesenyRz
messenger,mEsNJX
messiah,mxsYx
messianic,mEsi@nIk
messmate,mEsmet
mestizo,mEstizo
met,mEt
metabolic,mEtxbalIk
metabolism,mxt@bxlIzM
metabolize,mxt@bxlYz
metal,mEtL
metallic,mxt@lIk
metalliferous,mEtxlIfxrxs
metalloid,mEtxlOd
metallurgical,mEtxlRJIkL
metallurgist,mEtxlRJ|st
metallurgy,mEtxlRJi
metalware,mEtLwEr
metamorphosis,mEtxmorfxs|s
metaphor,mEtxfor
metaphorical,mEtxfcrIkL
metaphysics,mEtxfIzIks
metastasis,mxt@st|s|s
metastatic,mEtxst@tIk
metempsychosis,mxtEmsIkos|s
meteor,mitiX
meteoric,miticrIk
meteorite,mitiXYt
meteorology,mitiXalxJi
meter,mitX
methane,mETen
method,mETxd
methodical,mxTadIkL
methodist,mET|d|st
methodology,mETxdalxJi
meticulous,mxtIkyUlxs
metier,metye
metric,mEtrIk
metro,mEtro
metronome,mEtrxnom
metropolis,mxtrapLxs
metropolitan,mEtrxpal|tN
mew,myu
mews,myuz
Mexican,mEksIk|n
mezzanine,mEzNin
miasma,mY@zmx
mica,mYkx
mice,mYs
microbe,mYkrob
microbial,mYkrobiL
microcopy,mYkrokapi
microcosm,mYkrxkazM
micrometer,mYkramxtX
micron,mYkran
microorganism,mYkroorg|nIzM
microphone,mYkrxfon
microscopic,mYkr|skapIk
microscopy,mYkraskxpi
mid,mId
midday,mIde
midden,mIdN
middle,mIdL
middleman,mIdLm@n
middleweight,mIdLwet
middling,mIdlIG
middy,mIdi
midge,mIJ
midget,mIJ|t
midland,mIdl|nd
midst,mIdst
midstream,mIdstrim
midsummer,mIds^mX
midweek,mIdwik
miff,mIf
might,mYt
mighty,mYti
mignonette,mInyxnEt
migraine,mYgren
migrant,mYgrxnt
migration,mYgreS|n
migratory,mYgrxtori
mikado,mxkado
mike,mYk
mil,mIl
milch,mIlk
mild,mYld
mildew,mIldu
mile,mYl
mileage,mYlIJ
milepost,mYlpost
milieu,milyu
militant,mIl|t|nt
militarily,mIl|tErxli
militarism,mIl|tXIzM
militaristic,mIl|tXIstIk
militarize,mIl|tXYz
military,mIl|tEri
militate,mIl|tet
militia,mxlISx
milkmaid,mIlkmed
milksop,mIlksap
milldam,mIld@m
millennium,mxlEnixm
millet,mIl|t
milliard,mIliard
millieme,milyEm
milligram,mIlxgr@m
millimeter,mIlxmitX
milliner,mIl|nX
milling,mIlIG
million,mIlixn
millionaire,mIlyxnEr
millpond,mIlpand
millrace,mIlres
mime,mYm
mimeograph,mImixgr@f
mimetic,mxmEtIk
mimic,mImIk
mimosa,mxmosx
minaret,mInxrEt
minatory,mInxtori
mince,mIns
mincemeat,mInsmit
mind,mYnd
mine,mYn
minelayer,mYnleX
miner,mYnX
mineral,mInXL
mineralogy,mInXalxJi
minestrone,mIn|stroni
minesweeper,mYnswipX
mingle,mIGgL
miniature,mInixCUr
minimal,mInxmL
minimize,mInxmYz
minimum,mIn|mxm
minion,mInyxn
miniscule,mIn|skyul
minister,mIn|stX
ministerial,mIn|stIriL
ministrant,mIn|strxnt
ministration,mIn|streS|n
ministry,mIn|stri
mink,mIGk
minnesinger,mInIsIGX
minnow,mIno
minority,mYncrxti
minster,mInstX
minstrel,mInstrL
mint,mInt
minuend,mInyUEnd
minuet,mInyuEt
minus,mYn|s
minute,mIn|t
minuteman,mIn|tm@n
minutia,mxnuSx
minx,mIGks
miracle,mIrxkL
miraculous,mX@kyUlxs
mirage,mXaZ
mire,mYr
mirror,mIrX
mirth,mRT
misadventure,mIs|dvEnCX
misanthrope,mIsNTrop
misanthropic,mIsNTrapIk
misanthropy,mIs@nTrxpi
misapplication,mIs@plxkeS|n
misapply,mIsxplY
misapprehend,mIs@prIhEnd
misappropriate,mIsxpropriet
misbegotten,mIsbIgatN
misbehave,mIsbIhev
misbeliever,mIsbxlivX
miscalculate,mIsk@lkyUlet
miscalculation,mIsk@lkyUleS|n
miscall,mIskcl
miscarry,mIsk@ri
miscegenation,mIsEJ|neS|n
miscellaneous,mIsxlenixs
miscellany,mIsxleni
mischance,mIsC@ns
mischief,mIsC|f
mischievous,mIsCxvxs
miscible,mIsxbL
misconceive,mIsk|nsiv
misconduct,mIskand^kt
misconstrue,mIsk|nstru
miscount,mIskWnt
miscreant,mIskrixnt
miscue,mIskyu
misdemeanor,mIsdxminX
misdirect,mIsdXEkt
misdoing,mIsduIG
miser,mYzX
miserable,mIzXxbL
misery,mIzXi
misfeasance,mIsfizNs
misfile,mIsfYl
misfortune,mIsforC|n
misguidance,mIsgYdNs
mishap,mIsh@p
mishmash,mISm@S
misinform,mIsNform
misinformation,mIsInfXmeS|n
misinterpret,mIsNtRprxt
misjudge,mIsJ^J
mislay,mIsle
mislike,mIslYk
misnomer,mIsnomX
misogynist,mxsaJ|n|st
misprint,mIsprInt
mispronounce,mIsprxnWns
misquotation,mIskwoteS|n
misquote,mIskwot
misrepresent,mIsrEprIzEnt
misrule,mIsrul
miss,mIs
missal,mIsL
missend,mIsEnd
misshape,mIsSep
missing,mIsIG
mission,mIS|n
missive,mIsIv
misspell,mIspEl
mist,mIst
mistakable,m|stekxbL
mistake,m|stek
mister,mIstX
mistletoe,mIsLto
mistral,mIstrL
mistreat,mIstrit
mistress,mIstr|s
mistrial,mIstrYl
misty,mIsti
misunderstand,mIs^ndXst@nd
misuse,mISuz
mitigate,mIt|get
mitigation,mIt|geS|n
mitigative,mItxgetIv
mitre,mYtX
mitt,mIt
mitten,mItN
mix,mIks
mixture,mIksCX
mizen,mIzN
mnemonic,nImanIk
moan,mon
moat,mot
mob,mab
mobile,mobL
mobilization,mobLxzeS|n
mobilize,mobxlYz
mobilizer,mobxlYzX
mobster,mabstX
moccasin,mak|s|n
mock,mak
modal,modL
mode,mod
model,madL
moderate,madXet
moderation,madXeS|n
moderator,madXetX
modern,madXn
modernism,madXnIzM
modernity,mxdRn|ti
modernization,madXn|zeS|n
modernizer,madXnYzX
modernly,madXnli
modest,mad|st
modicum,madIkxm
modification,madxfxkeS|n
modifier,madxfYX
modify,madxfY
modish,modIS
modiste,modist
modular,maJUlX
modulate,maJxlet
modulation,maJ|leS|n
modulator,maJxletX
module,maJul
mogul,mogL
mohair,mohEr
moiety,mOxti
moil,mOl
moire,mware
moist,mOst
moisten,mOsN
moisture,mOsCX
molar,molX
molasses,mxl@s|z
mold,mold
moldboard,moldbord
molder,moldX
molding,moldIG
mole,mol
molecular,mxlEkyUlX
molecule,malIkyul
molehill,molhIl
molest,mxlEst
molestation,molEsteS|n
molester,mxlEstX
moll,mal
mollification,malxfxkeS|n
mollify,malxfY
mollusc,malxsk
mollycoddle,malikadL
molt,molt
molten,moltN
moly,moli
molybdenum,mxlIbd|nxm
moment,momxnt
momentarily,momxntErxli
momentariness,momxntErin|s
momentary,momxntEri
momentous,momEnt|s
momentum,momEntxm
monarch,manXk
monarchical,mxnarkIkL
monarchist,manXk|st
monarchy,manXki
monasterial,manxstIriL
monastery,man|stEri
monastic,mxn@stIk
monasticism,mxn@st|sIzM
monaural,mancrL
Monday,m^nde
monetary,man|tEri
money,m^ni
moneymaker,m^nimekX
monger,m^GgX
Mongol,maGgL
Mongolian,mangolixn
mongrel,m^GgrL
monism,monIzM
monition,monIS|n
monitor,man|tX
monitory,man|tori
monk,m^Gk
monkey,m^Gki
monkeyshine,m^GkiSYn
monkshood,m^GkshUd
monocle,manIkL
monodic,mxnadIk
monodist,man|d|st
monody,man|di
monogamy,mxnagxmi
monogram,manxgr@m
monolingual,manolIGgwL
monolith,manxlIT
monolithic,manxlITIk
monologist,mxnalxJ|st
monologue,manxlcg
monomania,manxmenix
monophonic,manxfanIk
monopolistic,mxnapxlIstIk
monopolize,mxnapxlYz
monopoly,mxnapLi
monorail,manorel
monosyllabic,manosxl@bIk
monosyllable,manosIl|bL
monotheism,manoTiIzM
monotone,man|ton
monotonous,mxnatN|s
monoxide,mxnaksYd
monsieur,mxsyR
monsignor,mansinyX
monsignori,mansinyori
monsoon,mansun
monster,manstX
monstrance,manstrxns
monstrosity,manstras|ti
monstrous,manstrxs
montage,mantaZ
month,m^nT
monument,manyUmxnt
monumental,manyUmEntL
moo,mu
mood,mud
moody,mudi
moon,mun
moor,mor
mooring,mUrIG
Moorland,mUrlxnd
moose,mus
moot,mut
mop,map
mope,mop
moppet,mapxt
moraine,mXen
moral,mcrL
morale,mX@l
moralist,mcrLxst
moralistic,mcrxlIstIk
morality,mX@l|ti
moralization,mcrLxzeS|n
moralize,mcrxlYz
moralizer,mcrxlYzX
morass,mX@s
moratorium,mcrxtorixm
morbid,morb|d
morbidity,morbId|ti
morbidly,morbxdli
mordant,mordNt
moreover,morovX
mores,mcrez
morgue,morg
moribund,mcr|b^nd
moribundity,mcr|b^nd|ti
Mormon,mormxn
morn,morn
morning,mornIG
Moroccan,mxrakxn
morocco,mXako
moron,moran
moronic,mXanIk
morose,mXos
morpheme,morfim
morphemic,morfimIk
morphia,morfix
morphine,morfin
morphological,morfxlaJIkL
morphologist,morfalxJ|st
morphology,morfalxJi
morris,mcrxs
morrow,maro
morsel,morsL
mortal,mortL
mortality,mort@l|ti
mortally,mortLi
mortar,mortX
mortgage,morgIJ
mortgagee,morgIJi
mortgagor,morgIJor
mortice,mort|s
mortician,mortIS|n
mortification,mort|fxkeS|n
mortify,mort|fY
mortuary,morCuEri
mosaic,mozeIk
mosey,mozi
Moslem,mazlxm
mosque,mask
mosquito,mxskito
moss,mcs
most,most
mot,mo
motel,motEl
motet,motEt
moth,mcT
mother,m^DX
motherland,m^DXl@nd
motif,motif
motile,motL
motility,motIl|ti
motion,moS|n
motivate,mot|vet
motivation,mot|veS|n
motive,motIv
motley,matli
motor,motX
motorization,motXxzeS|n
motorman,motXmxn
mottle,matL
motto,mato
mound,mWnd
mount,mWnt
mountain,mWntN
mountaineer,mWntNIr
mountainside,mWntNsYd
mountebank,mWntIb@Gk
mounting,mWntIG
mouse,mWs
mouser,mWzX
mousey,mWsi
moustache,m^st@S
mouth,mWT
mouthpart,mWTpart
mouthpiece,mWTpis
move,muv
mover,muvX
movie,muvi
mow,mW
much,m^C
mucilage,myusLIJ
mucilaginous,myusxl@J|n|s
muck,m^k
mucus,myuk|s
mud,m^d
muddle,m^dL
muddleheaded,m^dLhEd|d
mudguard,m^dgard
mudslinger,m^dslIGX
muezzin,muEzN
muff,m^f
muffin,m^fxn
muffle,m^fL
muffler,m^flX
mufti,m^fti
mug,m^g
muggy,m^gi
mugwump,m^gw^mp
Muhammadan,moh@mxd|n
mukluk,m^kl^k
mulatto,mUl@to
mulberry,m^lbEri
mulch,m^lC
mulct,m^lkt
mule,myul
muleteer,myulxtIr
mulish,myulIS
mull,m^l
mullein,m^lxn
mullet,m^l|t
mulligan,m^lIg|n
mulligatawny,m^lxgxtcni
mullion,m^lyxn
multicolored,m^ltIk^lXd
multifarious,m^lt|f@rixs
multiform,m^ltIform
multiformity,m^ltIformxti
multimillionaire,m^lt|m|lyxnEr
multiple,m^ltxpL
multiplication,m^ltxpl|keS|n
multiply,m^ltxplY
multitudinous,m^lt|tudN|s
mum,m^m
mumble,m^mbL
mummer,m^mX
mummification,m^mIfxkeS|n
mummify,m^mIfY
mummy,m^mi
mumps,m^mps
munch,m^nC
mundane,m^nden
municipal,myUnIsxpL
municipality,myUnIsxp@l|ti
munificent,myUnIfxsNt
munition,myUnIS|n
mural,myUrL
murder,mRdX
murk,mRk
murmur,mRmX
murrain,mRxn
muscatel,m^sk|tEl
muscle,m^sL
muscular,m^skyUlX
